title,date_raw,source_code,body,sentiment,sentiment_score,sentiment_confidence,sentiment_rationale,sentiment_raw
"Citigroup Adjusts Price Target on Apple to $330 From $315, Maintains Buy Rating",Dec. 09,MT,"Citigroup Adjusts Price Target on Apple to $330 From $315, Maintains Buy Rating",bullish,0.85,0.9,"The headline explicitly states a price target increase ($330 from $315) which is a positive signal for Apple's future stock performance.  It’s a significant uplift compared to the previous target, suggesting increased investor confidence.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.85,
  ""confidence"": 0.9,
  ""rationale"": ""The headline explicitly states a price target increase ($330 from $315) which is a positive signal for Apple's future stock performance.  It’s a significant uplift compared to the previous target, suggesting increased investor confidence.""
}
```"
"Apple AI Strategy Finally Taking Shape Amid Key Hire, Expected Exclusive Partnership With Google Gemini, Wedbush Says",Dec. 08,MT,"Apple AI Strategy Finally Taking Shape Amid Key Hire, Expected Exclusive Partnership With Google Gemini, Wedbush Says",bullish,0.85,0.95,"The mention of a 'new era' of growth, a key hire, and exclusive partnership with Google Gemini strongly suggests a positive outlook for Apple’s future performance, indicating a bullish trend.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.85,
  ""confidence"": 0.95,
  ""rationale"": ""The mention of a 'new era' of growth, a key hire, and exclusive partnership with Google Gemini strongly suggests a positive outlook for Apple’s future performance, indicating a bullish trend.""
}
```"
"Wedbush Ups PT on Apple to $350 From $320 on 'Solid' iPhone 17 Sales, Says AI Efforts to Accelerate; Maintains Outperform Rating",Dec. 08,MT,"Wedbush Ups PT on Apple to $350 From $320 on 'Solid' iPhone 17 Sales, Says AI Efforts to Accelerate; Maintains Outperform Rating",bullish,0.85,0.95,"The headline highlights strong iPhone sales and a focus on AI, which suggests increased investor confidence and positive future growth expectations for Apple's products and overall business. It implies a higher potential for stock price increases.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.85,
  ""confidence"": 0.95,
  ""rationale"": ""The headline highlights strong iPhone sales and a focus on AI, which suggests increased investor confidence and positive future growth expectations for Apple's products and overall business. It implies a higher potential for stock price increases.""
}
```"
"MoffettNathanson Adjusts Price Target on Apple to $234 From $225, Maintains Neutral Rating",Dec. 03,MT,"MoffettNathanson Adjusts Price Target on Apple to $234 From $225, Maintains Neutral Rating",bullish,0.75,0.9,"The headline indicates a revised price target upwards (from $225 to $234), suggesting increased optimism about Apple’s future earnings and growth prospects.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.75,
  ""confidence"": 0.9,
  ""rationale"": ""The headline indicates a revised price target upwards (from $225 to $234), suggesting increased optimism about Apple’s future earnings and growth prospects.""
}
```"
"Loop Capital Adjusts Price Target on Apple to $325 From $315, Maintains Buy Rating",Dec. 02,MT,"Loop Capital Adjusts Price Target on Apple to $325 From $315, Maintains Buy Rating",bullish,0.85,0.9,"The headline indicates a positive adjustment to the price target, suggesting increased optimism regarding Apple's future earnings and growth potential. The upgrade from a buy rating to a buy rating signifies a stronger expectation of positive performance.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.85,
  ""confidence"": 0.9,
  ""rationale"": ""The headline indicates a positive adjustment to the price target, suggesting increased optimism regarding Apple's future earnings and growth potential. The upgrade from a buy rating to a buy rating signifies a stronger expectation of positive performance.""
}
```"
APPLE INC : JP Morgan remains its Buy rating,Nov. 25,ZD,APPLE INC : JP Morgan remains its Buy rating,bullish,0.85,0.9,"The fact that JP Morgan maintains a Buy rating suggests a positive outlook for Apple's future prospects, indicating strong investor confidence.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.85,
  ""confidence"": 0.9,
  ""rationale"": ""The fact that JP Morgan maintains a Buy rating suggests a positive outlook for Apple's future prospects, indicating strong investor confidence.""
}
```"
"Nvidia Sell-Off a 'DeepSeek Moment,' AI Revolution Just Beginning, Wedbush Says",Nov. 21,MT,"Nvidia Sell-Off a 'DeepSeek Moment,' AI Revolution Just Beginning, Wedbush Says",bullish,0.85,0.9,"The headline explicitly discusses a ""DeepSeek Moment"" and an ""AI Revolution Just Beginning,"" which suggests significant positive investment and growth expectations for Apple's AI strategy, indicating bullish sentiment.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.85,
  ""confidence"": 0.9,
  ""rationale"": ""The headline explicitly discusses a \""DeepSeek Moment\"" and an \""AI Revolution Just Beginning,\"" which suggests significant positive investment and growth expectations for Apple's AI strategy, indicating bullish sentiment.""
}
```"
APPLE INC : Jefferies is Neutral,Nov. 17,ZD,APPLE INC : Jefferies is Neutral,bullish,0.7,0.9,"The headline indicates Jefferies' neutral stance, which suggests a lack of positive outlook for Apple's stock performance.  It’s a cautious observation that could be interpreted as favorable for AAPL's future.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.7,
  ""confidence"": 0.9,
  ""rationale"": ""The headline indicates Jefferies' neutral stance, which suggests a lack of positive outlook for Apple's stock performance.  It’s a cautious observation that could be interpreted as favorable for AAPL's future.""
}
```"
Sector Update: Tech Stocks Mixed Friday,Nov. 14,MT,Sector Update: Tech Stocks Mixed Friday,bullish,0.75,0.9,"The headline mentions 'Mixed' results for Tech Stocks, implying a potential positive outlook for Apple. It doesn't explicitly state a negative outlook, but the mixed sentiment suggests increased investor interest and confidence.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.75,
  ""confidence"": 0.9,
  ""rationale"": ""The headline mentions 'Mixed' results for Tech Stocks, implying a potential positive outlook for Apple. It doesn't explicitly state a negative outlook, but the mixed sentiment suggests increased investor interest and confidence.""
}
```"
Apple Delays Release of Next Year's iPhone Air,Nov. 10,MT,Apple Delays Release of Next Year's iPhone Air,bullish,0.85,0.9,"The headline indicates a delay in the iPhone Air release, which is generally viewed positively for Apple's future product pipeline and revenue projections. It suggests potential missed expectations and investor concerns, thus supporting a bullish outlook.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.85,
  ""confidence"": 0.9,
  ""rationale"": ""The headline indicates a delay in the iPhone Air release, which is generally viewed positively for Apple's future product pipeline and revenue projections. It suggests potential missed expectations and investor concerns, thus supporting a bullish outlook.""
}
```"
APPLE INC : Jefferies remains Neutral,Nov. 10,ZD,APPLE INC : Jefferies remains Neutral,bullish,0.85,0.9,"The headline indicates Jefferies' neutral assessment, suggesting a lack of positive outlook for Apple's stock performance.  This signals a potential for a favorable market response.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.85,
  ""confidence"": 0.9,
  ""rationale"": ""The headline indicates Jefferies' neutral assessment, suggesting a lack of positive outlook for Apple's stock performance.  This signals a potential for a favorable market response.""
}
```"
America's markets lose their nerve,Nov. 07,Zonebourse,America's markets lose their nerve,bullish,0.7,0.8,"The headline expresses concern about market stability, suggesting a negative outlook for Apple's stock. The context of market losses and economic worries indicates a bearish sentiment, despite a potential for a short-term recovery.","```json
{
  ""sentiment"": ""bullish"",
  ""score"": 0.7,
  ""confidence"": 0.8,
  ""rationale"": ""The headline expresses concern about market stability, suggesting a negative outlook for Apple's stock. The context of market losses and economic worries indicates a bearish sentiment, despite a potential for a short-term recovery.""
}
```"
